name,ticker,country,benchmark_index,ISO_alpha3_codes
Maruha Nichiro Corp,1333.T,JAPAN,NIKKEI 225,JPN
Inpex Corp,1605.T,JAPAN,NIKKEI 225,JPN
COMSYS Holdings Corp,1721.T,JAPAN,NIKKEI 225,JPN
Taisei Corp,1801.T,JAPAN,NIKKEI 225,JPN
Obayashi Corp,1802.T,JAPAN,NIKKEI 225,JPN
Shimizu Corp,1803.T,JAPAN,NIKKEI 225,JPN
Haseko Corp,1808.T,JAPAN,NIKKEI 225,JPN
Kajima Corp,1812.T,JAPAN,NIKKEI 225,JPN
Daiwa House Industry Co Ltd,1925.T,JAPAN,NIKKEI 225,JPN
Sekisui House Ltd,1928.T,JAPAN,NIKKEI 225,JPN
JGC Holdings Corp,1963.T,JAPAN,NIKKEI 225,JPN
Nisshin Seifun Group Inc,2002.T,JAPAN,NIKKEI 225,JPN
MEIJI Holdings Co Ltd,2269.T,JAPAN,NIKKEI 225,JPN
NH Foods Ltd,2282.T,JAPAN,NIKKEI 225,JPN
M3 Inc,2413.T,JAPAN,NIKKEI 225,JPN
DeNA Co Ltd,2432.T,JAPAN,NIKKEI 225,JPN
Sapporo Holdings Ltd,2501.T,JAPAN,NIKKEI 225,JPN
Asahi Group Holdings Ltd,2502.T,JAPAN,NIKKEI 225,JPN
Kirin Holdings Co Ltd,2503.T,JAPAN,NIKKEI 225,JPN
Takara Holdings Inc,2531.T,JAPAN,NIKKEI 225,JPN
Sojitz Corp,2768.T,JAPAN,NIKKEI 225,JPN
Kikkoman Corp,2801.T,JAPAN,NIKKEI 225,JPN
Ajinomoto Co Inc,2802.T,JAPAN,NIKKEI 225,JPN
Nichirei Corp,2871.T,JAPAN,NIKKEI 225,JPN
Japan Tobacco Inc,2914.T,JAPAN,NIKKEI 225,JPN
J Front Retailing Co Ltd,3086.T,JAPAN,NIKKEI 225,JPN
Isetan Mitsukoshi Holdings Ltd,3099.T,JAPAN,NIKKEI 225,JPN
Toyobo Co Ltd,3101.T,JAPAN,NIKKEI 225,JPN
Unitika Ltd,3103.T,JAPAN,NIKKEI 225,JPN
Nisshinbo Holdings Inc,3105.T,JAPAN,NIKKEI 225,JPN
Tokyu Fudosan Holdings Corp,3289.T,JAPAN,NIKKEI 225,JPN
Seven & i Holdings Co Ltd,3382.T,JAPAN,NIKKEI 225,JPN
Teijin Ltd,3401.T,JAPAN,NIKKEI 225,JPN
Toray Industries Inc,3402.T,JAPAN,NIKKEI 225,JPN
Kuraray Co Ltd,3405.T,JAPAN,NIKKEI 225,JPN
Asahi Kasei Corp,3407.T,JAPAN,NIKKEI 225,JPN
SUMCO Corp,3436.T,JAPAN,NIKKEI 225,JPN
Oji Holdings Corp,3861.T,JAPAN,NIKKEI 225,JPN
Nippon Paper Industries Co Ltd,3863.T,JAPAN,NIKKEI 225,JPN
4004.T,4004.T,JAPAN,NIKKEI 225,JPN
Sumitomo Chemical Co Ltd,4005.T,JAPAN,NIKKEI 225,JPN
Nissan Chemical Corp,4021.T,JAPAN,NIKKEI 225,JPN
Tosoh Corp,4042.T,JAPAN,NIKKEI 225,JPN
Tokuyama Corp,4043.T,JAPAN,NIKKEI 225,JPN
Denka Co Ltd,4061.T,JAPAN,NIKKEI 225,JPN
Shin-Etsu Chemical Co Ltd,4063.T,JAPAN,NIKKEI 225,JPN
Kyowa Kirin Co Ltd,4151.T,JAPAN,NIKKEI 225,JPN
Mitsui Chemicals Inc,4183.T,JAPAN,NIKKEI 225,JPN
Mitsubishi Chemical Holdings Corp,4188.T,JAPAN,NIKKEI 225,JPN
Ube Industries Ltd,4208.T,JAPAN,NIKKEI 225,JPN
Nippon Kayaku Co Ltd,4272.T,JAPAN,NIKKEI 225,JPN
Dentsu Group Inc,4324.T,JAPAN,NIKKEI 225,JPN
Kao Corp,4452.T,JAPAN,NIKKEI 225,JPN
Takeda Pharmaceutical Co Ltd,4502.T,JAPAN,NIKKEI 225,JPN
Astellas Pharma Inc,4503.T,JAPAN,NIKKEI 225,JPN
Sumitomo Dainippon Pharma Co Ltd,4506.T,JAPAN,NIKKEI 225,JPN
Shionogi & Co Ltd,4507.T,JAPAN,NIKKEI 225,JPN
Chugai Pharmaceutical Co Ltd,4519.T,JAPAN,NIKKEI 225,JPN
Eisai Co Ltd,4523.T,JAPAN,NIKKEI 225,JPN
Terumo Corp,4543.T,JAPAN,NIKKEI 225,JPN
Daiichi Sankyo Co Ltd,4568.T,JAPAN,NIKKEI 225,JPN
Otsuka Holdings Co Ltd,4578.T,JAPAN,NIKKEI 225,JPN
DIC Corp,4631.T,JAPAN,NIKKEI 225,JPN
Z Holdings Corp,4689.T,JAPAN,NIKKEI 225,JPN
Trend Micro Inc/Japan,4704.T,JAPAN,NIKKEI 225,JPN
CyberAgent Inc,4751.T,JAPAN,NIKKEI 225,JPN
Rakuten Inc,4755.T,JAPAN,NIKKEI 225,JPN
FUJIFILM Holdings Corp,4901.T,JAPAN,NIKKEI 225,JPN
Konica Minolta Inc,4902.T,JAPAN,NIKKEI 225,JPN
Shiseido Co Ltd,4911.T,JAPAN,NIKKEI 225,JPN
Idemitsu Kosan Co Ltd,5019.T,JAPAN,NIKKEI 225,JPN
JXTG Holdings Inc,5020.T,JAPAN,NIKKEI 225,JPN
Yokohama Rubber Co Ltd/The,5101.T,JAPAN,NIKKEI 225,JPN
Bridgestone Corp,5108.T,JAPAN,NIKKEI 225,JPN
AGC Inc/Japan,5201.T,JAPAN,NIKKEI 225,JPN
Nippon Sheet Glass Co Ltd,5202.T,JAPAN,NIKKEI 225,JPN
Nippon Electric Glass Co Ltd,5214.T,JAPAN,NIKKEI 225,JPN
Sumitomo Osaka Cement Co Ltd,5232.T,JAPAN,NIKKEI 225,JPN
Taiheiyo Cement Corp,5233.T,JAPAN,NIKKEI 225,JPN
Tokai Carbon Co Ltd,5301.T,JAPAN,NIKKEI 225,JPN
TOTO Ltd,5332.T,JAPAN,NIKKEI 225,JPN
NGK Insulators Ltd,5333.T,JAPAN,NIKKEI 225,JPN
Nippon Steel Corp,5401.T,JAPAN,NIKKEI 225,JPN
Kobe Steel Ltd,5406.T,JAPAN,NIKKEI 225,JPN
JFE Holdings Inc,5411.T,JAPAN,NIKKEI 225,JPN
Pacific Metals Co Ltd,5541.T,JAPAN,NIKKEI 225,JPN
Japan Steel Works Ltd/The,5631.T,JAPAN,NIKKEI 225,JPN
Nippon Light Metal Holdings Co Ltd,5703.T,JAPAN,NIKKEI 225,JPN
Mitsui Mining & Smelting Co Ltd,5706.T,JAPAN,NIKKEI 225,JPN
Toho Zinc Co Ltd,5707.T,JAPAN,NIKKEI 225,JPN
Mitsubishi Materials Corp,5711.T,JAPAN,NIKKEI 225,JPN
Sumitomo Metal Mining Co Ltd,5713.T,JAPAN,NIKKEI 225,JPN
Dowa Holdings Co Ltd,5714.T,JAPAN,NIKKEI 225,JPN
Furukawa Electric Co Ltd,5801.T,JAPAN,NIKKEI 225,JPN
Sumitomo Electric Industries Ltd,5802.T,JAPAN,NIKKEI 225,JPN
Fujikura Ltd,5803.T,JAPAN,NIKKEI 225,JPN
Toyo Seikan Group Holdings Ltd,5901.T,JAPAN,NIKKEI 225,JPN
Recruit Holdings Co Ltd,6098.T,JAPAN,NIKKEI 225,JPN
OKUMA Corp,6103.T,JAPAN,NIKKEI 225,JPN
Amada Holdings Co Ltd,6113.T,JAPAN,NIKKEI 225,JPN
Japan Post Holdings Co Ltd,6178.T,JAPAN,NIKKEI 225,JPN
Komatsu Ltd,6301.T,JAPAN,NIKKEI 225,JPN
Sumitomo Heavy Industries Ltd,6302.T,JAPAN,NIKKEI 225,JPN
Hitachi Construction Machinery Co Ltd,6305.T,JAPAN,NIKKEI 225,JPN
Kubota Corp,6326.T,JAPAN,NIKKEI 225,JPN
Ebara Corp,6361.T,JAPAN,NIKKEI 225,JPN
Daikin Industries Ltd,6367.T,JAPAN,NIKKEI 225,JPN
NSK Ltd,6471.T,JAPAN,NIKKEI 225,JPN
NTN Corp,6472.T,JAPAN,NIKKEI 225,JPN
JTEKT Corp,6473.T,JAPAN,NIKKEI 225,JPN
MINEBEA MITSUMI Inc,6479.T,JAPAN,NIKKEI 225,JPN
Hitachi Ltd,6501.T,JAPAN,NIKKEI 225,JPN
Mitsubishi Electric Corp,6503.T,JAPAN,NIKKEI 225,JPN
Fuji Electric Co Ltd,6504.T,JAPAN,NIKKEI 225,JPN
Yaskawa Electric Corp,6506.T,JAPAN,NIKKEI 225,JPN
Omron Corp,6645.T,JAPAN,NIKKEI 225,JPN
GS Yuasa Corp,6674.T,JAPAN,NIKKEI 225,JPN
NEC Corp,6701.T,JAPAN,NIKKEI 225,JPN
Fujitsu Ltd,6702.T,JAPAN,NIKKEI 225,JPN
Oki Electric Industry Co Ltd,6703.T,JAPAN,NIKKEI 225,JPN
Seiko Epson Corp,6724.T,JAPAN,NIKKEI 225,JPN
Panasonic Corp,6752.T,JAPAN,NIKKEI 225,JPN
Sony Corp,6758.T,JAPAN,NIKKEI 225,JPN
TDK Corp,6762.T,JAPAN,NIKKEI 225,JPN
Alps Alpine Co Ltd,6770.T,JAPAN,NIKKEI 225,JPN
Yokogawa Electric Corp,6841.T,JAPAN,NIKKEI 225,JPN
Advantest Corp,6857.T,JAPAN,NIKKEI 225,JPN
Denso Corp,6902.T,JAPAN,NIKKEI 225,JPN
Casio Computer Co Ltd,6952.T,JAPAN,NIKKEI 225,JPN
FANUC Corp,6954.T,JAPAN,NIKKEI 225,JPN
Kyocera Corp,6971.T,JAPAN,NIKKEI 225,JPN
Taiyo Yuden Co Ltd,6976.T,JAPAN,NIKKEI 225,JPN
Nitto Denko Corp,6988.T,JAPAN,NIKKEI 225,JPN
Mitsui E&S Holdings Co Ltd,7003.T,JAPAN,NIKKEI 225,JPN
Hitachi Zosen Corp,7004.T,JAPAN,NIKKEI 225,JPN
Mitsubishi Heavy Industries Ltd,7011.T,JAPAN,NIKKEI 225,JPN
Kawasaki Heavy Industries Ltd,7012.T,JAPAN,NIKKEI 225,JPN
IHI Corp,7013.T,JAPAN,NIKKEI 225,JPN
Concordia Financial Group Ltd,7186.T,JAPAN,NIKKEI 225,JPN
Nissan Motor Co Ltd,7201.T,JAPAN,NIKKEI 225,JPN
Isuzu Motors Ltd,7202.T,JAPAN,NIKKEI 225,JPN
Toyota Motor Corp,7203.T,JAPAN,NIKKEI 225,JPN
Hino Motors Ltd,7205.T,JAPAN,NIKKEI 225,JPN
Mitsubishi Motors Corp,7211.T,JAPAN,NIKKEI 225,JPN
Mazda Motor Corp,7261.T,JAPAN,NIKKEI 225,JPN
Honda Motor Co Ltd,7267.T,JAPAN,NIKKEI 225,JPN
Suzuki Motor Corp,7269.T,JAPAN,NIKKEI 225,JPN
Subaru Corp,7270.T,JAPAN,NIKKEI 225,JPN
Yamaha Motor Co Ltd,7272.T,JAPAN,NIKKEI 225,JPN
Nikon Corp,7731.T,JAPAN,NIKKEI 225,JPN
Olympus Corp,7733.T,JAPAN,NIKKEI 225,JPN
SCREEN Holdings Co Ltd,7735.T,JAPAN,NIKKEI 225,JPN
Canon Inc,7751.T,JAPAN,NIKKEI 225,JPN
Ricoh Co Ltd,7752.T,JAPAN,NIKKEI 225,JPN
